flyFrom,flyTo,price,cityFrom,cityTo,countryFrom,countryTo,distance,duration,local_departure,category
TIA,BCN,308,Tirana,Barcelona,Albania,Spain,1471.65,59400,2023-02-28 17:15:00,Cultural
TIA,BCN,325,Tirana,Barcelona,Albania,Spain,1471.65,63900,2023-02-28 16:00:00,Cultural
TIA,BCN,327,Tirana,Barcelona,Albania,Spain,1471.65,63600,2023-02-28 20:55:00,Cultural
TIA,BCN,332,Tirana,Barcelona,Albania,Spain,1471.65,57600,2023-02-28 17:30:00,Cultural
TIA,BCN,341,Tirana,Barcelona,Albania,Spain,1471.65,53700,2023-02-28 20:55:00,Cultural
TIA,BCN,341,Tirana,Barcelona,Albania,Spain,1471.65,63900,2023-02-28 16:00:00,Cultural
TIA,BCN,358,Tirana,Barcelona,Albania,Spain,1471.65,66000,2023-02-28 16:00:00,Cultural
TIA,BCN,360,Tirana,Barcelona,Albania,Spain,1471.65,60600,2023-02-28 19:00:00,Cultural
TIA,BCN,363,Tirana,Barcelona,Albania,Spain,1471.65,32100,2023-02-28 15:45:00,Cultural
TIA,BCN,374,Tirana,Barcelona,Albania,Spain,1471.65,66000,2023-02-28 16:00:00,Cultural
TIA,BCN,382,Tirana,Barcelona,Albania,Spain,1471.65,28500,2023-02-28 16:00:00,Cultural
TIA,BCN,385,Tirana,Barcelona,Albania,Spain,1471.65,31200,2023-02-28 16:00:00,Cultural
TIA,BCN,386,Tirana,Barcelona,Albania,Spain,1471.65,29400,2023-02-28 16:00:00,Cultural
TIA,BCN,402,Tirana,Barcelona,Albania,Spain,1471.65,60300,2023-02-28 18:00:00,Cultural
TIA,BCN,414,Tirana,Barcelona,Albania,Spain,1471.65,32700,2023-02-28 14:50:00,Cultural
TIA,BCN,422,Tirana,Barcelona,Albania,Spain,1471.65,17100,2023-02-28 16:00:00,Cultural
TIA,BCN,428,Tirana,Barcelona,Albania,Spain,1471.65,27000,2023-02-28 15:45:00,Cultural
TIA,BCN,448,Tirana,Barcelona,Albania,Spain,1471.65,28500,2023-02-28 16:00:00,Cultural
TIA,BCN,487,Tirana,Barcelona,Albania,Spain,1471.65,16200,2023-02-28 15:45:00,Cultural
TIA,BCN,493,Tirana,Barcelona,Albania,Spain,1471.65,18300,2023-02-28 14:50:00,Cultural
TIA,BCN,504,Tirana,Barcelona,Albania,Spain,1471.65,64200,2023-02-28 16:00:00,Cultural
TIA,BCN,506,Tirana,Barcelona,Albania,Spain,1471.65,69600,2023-02-28 14:50:00,Cultural
